school_id,school_id_t,school_name,school_address,school_x,school_y,grid_point_id,grid_left,grid_top,grid_col,grid_row,distance_m
1,22502000151_1,"Муниципальное бюджетное общеобразовательное учреждение ""Котовская основная школа""","607144, Нижегородская обл., Ардатовский р-н., Котовка с., Школьная ул., 1а",43.00282900,55.28283600,622385,4786936.73,7417267.63,341,1423,296.356
2,22502000271_2,"Муниципальное бюджетное общеобразовательное учреждение ""Личадеевская средняя школа""","607154, обл.Нижегородская, м.о..Ардатовский, с.Личадеево, ул.Школьная, 25а",43.30204000,55.37812500,773483,4820136.73,7435267.63,424,1378,76.953
3,22502000301_3,"муниципальное бюджетное общеобразовательное учреждение ""Михеевская основная школа""","607137, Нижегородская обл., Ардатовский р-н., Михеевка с., Новая ул., 32",43.13912100,55.12917500,691660,4802136.73,7386467.63,379,1500,187.751
4,22502000316_4,"Размазлейская основная школа - филиал муниципального бюджетного общеобразовательного учреждения ""Котовская основная школа""","607153 Нижегородская область, Ардатовский район, с. Размазлей, ул. Школьная, д. 18",43.12492800,55.31854700,684281,4800536.73,7424467.63,375,1405,418.706
5,22502000321_5,муниципальное бюджетное общеобразовательное учреждение «Саконская средняя школа»,"607152, Нижегородская обл., Ардатовский р-н., Саконы с., Школьная ул., 50",43.16100400,55.37548000,702466,4804536.73,7434467.63,385,1380,239.532
6,22502000321_6,"""Туркушская основная школа-филиал муниципального бюджетного общеобразовательного учреждения """"Саконская средняя школа""""""","Нижегородская обл, Ардатовский р-н, с. Саконы, Школьная ул, 50",43.16100400,55.37548000,702466,4804536.73,7434467.63,385,1380,239.532
7,22502000411_7,"Муниципальное бюджетное общеобразовательное учреждение ""Стексовская средняя школа""","607141, обл.Нижегородская, м.о..Ардатовский, с.Стексово, ул.Больничная, 1А",43.40888500,55.29733800,826332,4831736.73,7419267.63,453,1418,257.017
8,22502000456_8,"Муниципальное бюджетное общеобразовательное учреждение ""Хрипуновская средняя школа""","607138, Нижегородская обл., Ардатовский р-н., Хрипуново с., Школьная ул., 17",43.19156500,55.17576100,715310,4807336.73,7395667.63,392,1477,318.240
9,22703000106_9,"Муниципальное бюджетное общеобразовательное учреждение ""Абрамовская средняя школа им. А.И.Плотникова""","607251, Нижегородская обл., Абрамово с., Арзамас г., Школьная ул., 1",43.66661200,55.40856700,959212,4860936.73,7440467.63,526,1365,521.973
10,22703000581_10,"Муниципальное бюджетное образовательное учреждение ""Хватовская основная школа""","607256, обл.Нижегородская, г.о..город Арзамас, с.Хватовка, ул.Кооперативная, 178",43.74283400,55.43617200,993795,4868536.73,7446867.63,545,1349,395.819
11,22703000111_11,"Муниципальное бюджетное общеобразовательное учреждение ""Балахонихинская основная школа""","607216, Нижегородская обл., Балахониха сп.., Арзамас г., Школьная ул., 5а",43.59649800,55.66364400,920843,4852536.73,7491667.63,505,1237,237.295
12,22703000371_12,Муниципальное бюджетное общеобразовательное учреждение Никольская основная школа,"обл.Нижегородская, г.о..город Арзамас, с.Никольское, д.-, кв.-",43.59916600,55.53377600,924551,4853336.73,7465267.63,507,1303,394.330
13,22703000121_13,"Муниципальное бюджетное общеобразовательное учреждение ""Новоселковская средняя школа""","607264, обл.Нижегородская, г.Арзамас, д.Бебяево, 40В",43.94303200,55.30844900,1101295,4892136.73,7422467.63,604,1410,534.557
14,22703000136_14,"Муниципальное бюджетное образовательное учреждение ""Березовская средняя школа""","607249, Нижегородская обл., Березовка д., Арзамас г., Школьная ул., 4",43.57580100,56.12113500,911512,4850536.73,7582067.63,500,1011,176.197
